,Class_Error,Freerun_Steps,Layer_Activity_0,Layer_Activity_1,Layer_Activity_2,Layer_Activity_3,Layer_Activity_4,Layer_Diversity_0,Layer_Diversity_1,Layer_Diversity_2,Layer_Diversity_3,Layer_Diversity_4,Learnrate,Recon_Error,Temperature,Test_Epoch,Train_Epoch,W_mean_0,W_mean_1,W_mean_2,W_mean_3
0,0.7536,5,13.0750786304,23.7235726452,27.0533486271,54.903835659,10.3484525061,0.151345431805,0.187595248222,0.0665454491973,0.203779265285,0.179835125804,0.00992063492063,0.061744235456,0.0995575221239,5.0,4,0.0279835183173,0.0309438873082,0.0515428036451,0.0606023706496
1,0.7617,5,13.07496243,23.678394146,27.2482903671,52.1044789314,10.3754484797,0.151487126946,0.187359422445,0.0648501217365,0.211423948407,0.179861843586,0.00990099009901,0.0594399385154,0.0994475138122,10.0,5,0.0282843168825,0.0313624478877,0.0524166785181,0.0743198543787
2,0.5414,5,13.0702899027,23.5737370777,27.4642085743,51.021936264,10.2970666933,0.151448488235,0.186397328973,0.0653737559915,0.227290034294,0.179512247443,0.0098814229249,0.0586160421371,0.0993377483444,14.0,6,0.0285810586065,0.0317290574312,0.0532003305852,0.0869936645031
3,,5,13.072959466,23.421160717,27.7404474831,50.8125376511,10.2410874462,0.152708679438,0.186086118221,0.0664625689387,0.231467366219,0.179676398635,0.00986193293886,,0.0992282249173,,7,0.0288633108139,0.0320635288954,0.0538973137736,0.0988028123975
4,,5,13.0703410959,23.3125383663,27.8979431248,50.8863901138,10.2303753567,0.151607573032,0.185077771544,0.0642080977559,0.238407433033,0.179877325892,0.00984251968504,,0.0991189427313,,8,0.0291308928281,0.0323771946132,0.0544360913336,0.109546065331
5,,5,13.0634143305,23.1877427006,28.0171267223,50.8773406982,10.1730483723,0.15042899549,0.185012429953,0.0645550340414,0.243160098791,0.179602369666,0.0098231827112,,0.0990099009901,,9,0.0293905176222,0.0326809808612,0.0548843666911,0.11868930608
6,,5,13.068899188,23.1101144028,28.2291497135,50.7839478874,10.148872323,0.152230337262,0.183909520507,0.0635130479932,0.244594544172,0.179691657424,0.00980392156863,,0.0989010989011,,10,0.0296380724758,0.0329822637141,0.0552509687841,0.126537039876
7,,5,13.0635261583,23.0028930092,28.2388744831,50.7804541016,10.1330589008,0.152816355228,0.183489307761,0.0642579495907,0.245022729039,0.179802983999,0.00978473581213,,0.0987925356751,,11,0.0298709645867,0.0332745574415,0.0555331520736,0.133102759719
8,,5,13.0687669134,22.9174376202,28.3521330738,50.7142287827,10.0955017567,0.151667386293,0.183390319347,0.0646879151464,0.252612113953,0.179528623819,0.009765625,,0.0986842105263,,12,0.0300934240222,0.0335479564965,0.0557814799249,0.138591885567
9,,5,13.0786468935,22.8232078171,28.3762154484,50.7448875427,10.0731906223,0.151923879981,0.182533279061,0.0649863928556,0.254700541496,0.179555058479,0.00974658869396,,0.0985761226725,,13,0.0303151458502,0.0338201858103,0.0559661909938,0.1433737427
